track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
STAY (with Justin Bieber),The Kid LAROI,83,STAY (with Justin Bieber),89,0.591,0.764,-5.484,1,1,0.0483,0.0383,0,0.103,0.478,169.928,4,141806
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,90,Justice,86,0.677,0.696,-6.181,1,0,0.119,0.321,0,0.42,0.464,90.03,4,198082
edamame (feat. Rich Brian),bbno$,72,edamame (feat. Rich Brian),77,0.815,0.848,-4.704,0,4,0.115,0.023,0.000162,0.0265,0.684,106.032,4,133707
Here's Your Perfect,Jamie Miller,65,Here's Your Perfect,77,0.558,0.454,-5.335,1,6,0.0551,0.499,0,0.146,0.424,113.12,4,158594
It's You,Sezairi,57,It's You,73,0.63,0.456,-8.285,1,8,0.0317,0.545,0,0.114,0.166,137.915,3,251440
Take You Dancing,Jason Derulo,80,Take You Dancing,79,0.789,0.711,-4.248,1,2,0.041,0.0332,0,0.0876,0.753,112.985,4,190306
It's Only Me - Studio Version,Kaleb J,60,It's Only Me (Studio Version),73,0.602,0.298,-13.333,1,4,0.0385,0.31,0,0.117,0.316,119.889,4,203076
Reckless,Madison Beer,71,Reckless,78,0.386,0.426,-6.642,1,3,0.0363,0.807,0,0.14,0.261,180.104,3,203385
deja vu,Olivia Rodrigo,85,SOUR,88,0.442,0.612,-7.222,1,2,0.112,0.584,5.7e-06,0.37,0.178,180.917,4,215507
Paradise,Bazzi,72,Soul Searching,75,0.844,0.644,-6.273,0,11,0.0479,0.0828,0,0.113,0.591,122.061,4,169038
Never (feat. OMI),Marcus & Martinus,54,Moments (Deluxe),39,0.651,0.595,-6.889,1,8,0.179,0.279,0,0.241,0.816,116.92,5,190080
Need to Know,Doja Cat,88,Planet Her,85,0.664,0.609,-6.509,1,1,0.0707,0.304,0,0.0926,0.194,130.041,4,210560
Into Your Arms (feat. Ava Max),Witt Lowry,62,Into Your Arms (feat. Ava Max),77,0.504,0.788,-4.113,0,3,0.215,0.0134,0,0.363,0.228,170.039,4,186022
Apollo,Nightcore High,44,Apollo,61,0.483,0.611,-6.33,1,1,0.0994,0.117,0,0.111,0.325,103.308,4,150340
Dễ Đến Dễ Đi,Quang Hùng MasterD,37,Dễ Đến Dễ Đi,46,0.873,0.444,-7.139,1,10,0.0441,0.752,0.0393,0.0979,0.406,105.017,4,270048
Dinero,Trinidad Cardona,63,Dinero,73,0.708,0.782,-4.687,1,2,0.0674,0.00772,0,0.107,0.484,119.997,4,160880
Tutu,Camilo,80,Tutu,69,0.731,0.832,-2.592,1,9,0.0503,0.273,0,0.0665,0.94,146.013,4,178613
Know Me Too Well,New Hope Club,56,Know Me Too Well,59,0.75,0.698,-4.371,0,1,0.0388,0.427,0,0.0654,0.834,122.954,4,200013
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,68,The Papercut Chronicles II,63,0.646,0.795,-3.293,1,9,0.0976,0.0319,0,0.267,0.796,89.99,4,210960
Beggin',Måneskin,78,Chosen,86,0.714,0.8,-4.808,0,11,0.0504,0.127,0,0.359,0.589,134.002,4,211560
#BrooklynBloodPop!,SyKo,58,#BrooklynBloodPop!,75,0.691,0.814,-3.788,0,1,0.117,0.0164,0,0.366,0.509,132.012,4,145611
So Big,Iyaz,63,Replay,52,0.697,0.688,-4.551,1,6,0.0362,0.29,0,0.308,0.666,121.962,4,199920
