uri,artist_names,track_name,peak_rank,weeks_on_chart,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,duration_ms
spotify:track:3KkXRkHbMCARz0aVfEt68P,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,1,13,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,89.911,4,158040
spotify:track:6MWtB6iiXyIwun0YzU6DFP,Post Malone,Wow.,2,4,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,99.947,4,149520
spotify:track:2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,"thank u, next",1,11,0.724,0.647,1,-5.642,1,0.0658,0.28,0.0,0.102,106.96,4,207333
spotify:track:5p7ujcrUXASCNwRaWNHR1C,Halsey,Without Me,4,15,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,136.041,4,201661
spotify:track:5iwz1NiezX7WWjnCgY5TH4,"Pedro Capó, Farruko",Calma - Remix,5,10,0.826,0.773,11,-4.218,0,0.0524,0.323,0.0,0.143,126.899,4,238200
spotify:track:25sgk305KZfyuqVBQIahim,Ava Max,Sweet but Psycho,6,16,0.719,0.704,1,-4.724,1,0.0476,0.0691,0.0,0.166,133.002,4,187436
spotify:track:4w8niZpiMy6qz1mntFA5uM,"DJ Snake, Selena Gomez, Ozuna, Cardi B","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",1,16,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,95.881,4,212500
spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,"Sam Smith, Normani",Dancing With A Stranger (with Normani),8,1,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,102.998,4,171030
spotify:track:1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,High Hopes,9,30,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,82.014,4,190947
spotify:track:116H0KvKr2Zl4RPuVBruDO,"Bad Bunny, Drake",MIA (feat. Drake),1,14,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,97.062,4,210368
spotify:track:2dpaYNEQHiRxtZbfNsse99,"Marshmello, Bastille",Happier,2,22,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,100.015,4,214290
spotify:track:7wFybC8jBH3zE139OpCtpG,"Gesaffelstein, The Weeknd",Lost in the Fire (feat. The Weeknd),12,1,0.663,0.675,2,-12.159,1,0.0359,0.0863,0.00133,0.117,101.004,4,202093
spotify:track:2xLMifQCjDGFmkHkpNLD9h,Travis Scott,SICKO MODE,2,24,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,155.008,4,312820
spotify:track:2IRZnDFmlqMuOrYOLnZZyc,"Meek Mill, Drake",Going Bad (feat. Drake),11,7,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,86.003,4,180522
spotify:track:6FyRXC8tJUh863JCkyWqtk,Paulo Londra,Adan y Eva,11,10,0.767,0.709,1,-4.47,1,0.336,0.323,0.0,0.0676,171.993,4,258639
spotify:track:2VxeLyX666F8uXCJ0dZF8B,"Lady Gaga, Bradley Cooper",Shallow,5,16,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,95.799,4,215733
spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z,"Kodak Black, Offset, Travis Scott",ZEZE (feat. Travis Scott & Offset),3,14,0.861,0.603,8,-5.788,0,0.176,0.0521,0.0,0.0924,98.043,4,228760
spotify:track:7FGq80cy8juXBCD2nrqdWU,"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),4,27,0.632,0.686,6,-7.665,0,0.243,0.549,0.0,0.2,89.949,4,170770
spotify:track:78QR3Wp35dqAhFEc2qAGjE,"Lil Baby, Gunna",Drip Too Hard (Lil Baby & Gunna),13,18,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,112.511,4,145543
spotify:track:5kfNriitmkNE8mUbZ7gbq8,Khalid,Saturday Nights,20,11,0.551,0.44,10,-8.559,1,0.0985,0.606,3.02e-05,0.11,167.923,4,210667
spotify:track:1xzBco0xcoJEDXktl7Jxrr,Sheck Wes,Mo Bamba,11,22,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,146.034,4,183907
spotify:track:14JzyD6FlBD5z0wV5P07YI,Billie Eilish,when the party's over,12,13,0.498,0.104,1,-14.08,0,0.0621,0.979,7.86e-05,0.0895,124.001,3,199931
spotify:track:7dt6x5M1jzdTEt8oCbisTK,Post Malone,Better Now,1,38,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,145.038,4,231267
spotify:track:2LskIZrCeLxRvCiGP8gxlh,"XXXTENTACION, Lil Pump, Swae Lee, Maluma",Arms Around You (feat. Maluma & Swae Lee),3,12,0.703,0.723,9,-5.45,0,0.0412,0.0302,2.06e-06,0.126,104.969,4,198903
spotify:track:3Ol2xnObFdKV9pmRD2t9x8,A Boogie Wit da Hoodie,Look Back at It,25,4,0.791,0.587,3,-5.075,0,0.0413,0.407,0.0,0.148,96.057,4,179449
spotify:track:5JEx7HbmvHQQswJCsoo9rA,"Ellie Goulding, Diplo, Swae Lee",Close To Me (with Diplo) (feat. Swae Lee),19,12,0.575,0.758,1,-5.029,0,0.0618,0.0954,0.0,0.394,144.107,4,182623
spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,"Maroon 5, Cardi B",Girls Like You (feat. Cardi B) - Cardi B Version,2,33,0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,124.959,4,235545
spotify:track:27rdGxbavYJeBphck5MZAF,"Mark Ronson, Miley Cyrus",Nothing Breaks Like a Heart (feat. Miley Cyrus),22,7,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.388,114.066,4,217467
spotify:track:3EPXxR3ImUwfayaurPi3cm,Dean Lewis,Be Alright,12,26,0.553,0.586,11,-6.319,1,0.0362,0.697,0.0,0.0813,126.684,4,196373
spotify:track:3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,SAD!,1,46,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,75.023,4,166606
spotify:track:6zeeWid2sgw4lap2jV61PZ,Khalid,Better,7,18,0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,97.949,4,229320
spotify:track:5itOtNx0WxtJmi1TQ3RuRd,"Calvin Harris, Rag'n'Bone Man",Giant (with Rag'n'Bone Man),32,1,0.807,0.887,1,-4.311,0,0.0361,0.016,0.000503,0.0811,122.015,4,229184
spotify:track:7tFiyTwD0nx5a1eklYtX2J,Queen,Bohemian Rhapsody - Remastered 2011,11,20,0.392,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,143.883,4,354320
